filename;class;xmin;ymin;xmax;ymax
1478900859981702684_jpg.rf.6830635c7d9197475638f0818f5dd103.jpg;car;291;247;370;331
1478900859981702684_jpg.rf.6830635c7d9197475638f0818f5dd103.jpg;pedestrian;270;235;293;321
1478900859981702684_jpg.rf.6830635c7d9197475638f0818f5dd103.jpg;car;0;266;13;327
1478900859981702684_jpg.rf.6830635c7d9197475638f0818f5dd103.jpg;car;25;258;106;304
1478900859981702684_jpg.rf.6830635c7d9197475638f0818f5dd103.jpg;car;111;259;135;289
1478900859981702684_jpg.rf.6830635c7d9197475638f0818f5dd103.jpg;car;128;226;274;423
1478900859981702684_jpg.rf.6830635c7d9197475638f0818f5dd103.jpg;car;325;223;440;347
1478900859981702684_jpg.rf.6830635c7d9197475638f0818f5dd103.jpg;car;388;234;510;388
1478900862266557548_jpg.rf.68b3f97910f054e9c49c7904b1391ab1.jpg;car;0;266;12;330
1478900862266557548_jpg.rf.68b3f97910f054e9c49c7904b1391ab1.jpg;car;25;261;106;307
1478900862266557548_jpg.rf.68b3f97910f054e9c49c7904b1391ab1.jpg;car;111;261;135;292
1478900862266557548_jpg.rf.68b3f97910f054e9c49c7904b1391ab1.jpg;pedestrian;123;242;149;323
1478900862266557548_jpg.rf.68b3f97910f054e9c49c7904b1391ab1.jpg;car;142;255;173;294
1478900862266557548_jpg.rf.68b3f97910f054e9c49c7904b1391ab1.jpg;car;157;234;256;378
1478900862266557548_jpg.rf.68b3f97910f054e9c49c7904b1391ab1.jpg;car;270;246;323;321
1478900862266557548_jpg.rf.68b3f97910f054e9c49c7904b1391ab1.jpg;car;291;248;340;330
1478900862266557548_jpg.rf.68b3f97910f054e9c49c7904b1391ab1.jpg;car;325;226;447;358
1478900862266557548_jpg.rf.68b3f97910f054e9c49c7904b1391ab1.jpg;car;391;234;511;388
1478898326312239784_jpg.rf.68d1e82fac5c63639311a202f261808a.jpg;car;44;261;81;294
1478898326312239784_jpg.rf.68d1e82fac5c63639311a202f261808a.jpg;pedestrian;0;264;9;303
1478898326312239784_jpg.rf.68d1e82fac5c63639311a202f261808a.jpg;pedestrian;6;264;16;302
1478898326312239784_jpg.rf.68d1e82fac5c63639311a202f261808a.jpg;pedestrian;7;266;15;302
1478898326312239784_jpg.rf.68d1e82fac5c63639311a202f261808a.jpg;car;85;229;253;440
1478898326312239784_jpg.rf.68d1e82fac5c63639311a202f261808a.jpg;pedestrian;245;250;254;291
1478898326312239784_jpg.rf.68d1e82fac5c63639311a202f261808a.jpg;pedestrian;269;252;282;294
1478898326312239784_jpg.rf.68d1e82fac5c63639311a202f261808a.jpg;pedestrian;272;255;281;287
1478898326312239784_jpg.rf.68d1e82fac5c63639311a202f261808a.jpg;pedestrian;324;226;362;360
1478898326312239784_jpg.rf.68d1e82fac5c63639311a202f261808a.jpg;car;355;243;434;294
1478898326312239784_jpg.rf.68d1e82fac5c63639311a202f261808a.jpg;car;486;255;510;291
1478901320440882475_jpg.rf.68c80301c423a24b46fce5ea98b31542.jpg;car;0;263;15;335
1478901320440882475_jpg.rf.68c80301c423a24b46fce5ea98b31542.jpg;car;12;249;84;341
1478901320440882475_jpg.rf.68c80301c423a24b46fce5ea98b31542.jpg;car;63;195;229;412
1478901320440882475_jpg.rf.68c80301c423a24b46fce5ea98b31542.jpg;pedestrian;269;254;276;290
1478901320440882475_jpg.rf.68c80301c423a24b46fce5ea98b31542.jpg;car;328;242;437;350
1478901320440882475_jpg.rf.68c80301c423a24b46fce5ea98b31542.jpg;car;336;259;365;292
1478901320440882475_jpg.rf.68c80301c423a24b46fce5ea98b31542.jpg;car;431;241;496;288
1478901320440882475_jpg.rf.68c80301c423a24b46fce5ea98b31542.jpg;pedestrian;486;248;504;308
1478897781300448441_jpg.rf.68e3c3802a02409817ccb89086684104.jpg;car;17;287;40;306
1478897781300448441_jpg.rf.68e3c3802a02409817ccb89086684104.jpg;car;44;273;83;300
1478897781300448441_jpg.rf.68e3c3802a02409817ccb89086684104.jpg;car;54;275;84;295
1478897781300448441_jpg.rf.68e3c3802a02409817ccb89086684104.jpg;pedestrian;177;258;183;280
1478897781300448441_jpg.rf.68e3c3802a02409817ccb89086684104.jpg;car;262;253;286;279
1478897781300448441_jpg.rf.68e3c3802a02409817ccb89086684104.jpg;pedestrian;304;249;311;279
1478897781300448441_jpg.rf.68e3c3802a02409817ccb89086684104.jpg;car;402;243;440;272
1478897781300448441_jpg.rf.68e3c3802a02409817ccb89086684104.jpg;car;421;243;456;271
1478899461464112431_jpg.rf.68da7c08fccfa68897fceb0fbb98172b.jpg;pedestrian;6;256;15;291
1478899461464112431_jpg.rf.68da7c08fccfa68897fceb0fbb98172b.jpg;pedestrian;8;254;15;292
1478899461464112431_jpg.rf.68da7c08fccfa68897fceb0fbb98172b.jpg;pedestrian;15;250;24;293
1478899461464112431_jpg.rf.68da7c08fccfa68897fceb0fbb98172b.jpg;pedestrian;29;255;37;295
1478899461464112431_jpg.rf.68da7c08fccfa68897fceb0fbb98172b.jpg;car;45;238;216;431
1478899461464112431_jpg.rf.68da7c08fccfa68897fceb0fbb98172b.jpg;pedestrian;76;258;84;292
1478899461464112431_jpg.rf.68da7c08fccfa68897fceb0fbb98172b.jpg;car;210;254;234;289
1478899461464112431_jpg.rf.68da7c08fccfa68897fceb0fbb98172b.jpg;pedestrian;263;213;299;339
1478899461464112431_jpg.rf.68da7c08fccfa68897fceb0fbb98172b.jpg;pedestrian;285;214;310;325
1478899461464112431_jpg.rf.68da7c08fccfa68897fceb0fbb98172b.jpg;pedestrian;446;228;464;309
1478899461464112431_jpg.rf.68da7c08fccfa68897fceb0fbb98172b.jpg;pedestrian;449;225;466;315
1478898149212668424_jpg.rf.68cd99707454cc3c953b283f6e753bd2.jpg;car;52;255;97;295
1478898149212668424_jpg.rf.68cd99707454cc3c953b283f6e753bd2.jpg;car;54;253;97;296
1478898149212668424_jpg.rf.68cd99707454cc3c953b283f6e753bd2.jpg;pedestrian;99;232;131;319
1478898149212668424_jpg.rf.68cd99707454cc3c953b283f6e753bd2.jpg;car;328;241;415;297
1478898149212668424_jpg.rf.68cd99707454cc3c953b283f6e753bd2.jpg;car;328;243;417;294
1478898149212668424_jpg.rf.68cd99707454cc3c953b283f6e753bd2.jpg;car;418;243;475;278
1478898149212668424_jpg.rf.68cd99707454cc3c953b283f6e753bd2.jpg;car;418;242;484;284
1478897992106735618_jpg.rf.68ffed8bb31db22a54c9d28831eafa1f.jpg;pedestrian;482;212;512;328
1478897992106735618_jpg.rf.68ffed8bb31db22a54c9d28831eafa1f.jpg;car;6;265;54;285
1478897992106735618_jpg.rf.68ffed8bb31db22a54c9d28831eafa1f.jpg;car;48;259;83;281
1478897992106735618_jpg.rf.68ffed8bb31db22a54c9d28831eafa1f.jpg;car;49;256;81;282
1478897992106735618_jpg.rf.68ffed8bb31db22a54c9d28831eafa1f.jpg;car;90;253;114;279
1478897992106735618_jpg.rf.68ffed8bb31db22a54c9d28831eafa1f.jpg;car;91;252;113;282
1478897992106735618_jpg.rf.68ffed8bb31db22a54c9d28831eafa1f.jpg;car;116;258;148;294
1478897992106735618_jpg.rf.68ffed8bb31db22a54c9d28831eafa1f.jpg;car;116;258;148;297
1478897992106735618_jpg.rf.68ffed8bb31db22a54c9d28831eafa1f.jpg;car;143;261;159;285
1478897992106735618_jpg.rf.68ffed8bb31db22a54c9d28831eafa1f.jpg;car;168;257;232;339
1478897992106735618_jpg.rf.68ffed8bb31db22a54c9d28831eafa1f.jpg;car;224;244;242;312
1478897992106735618_jpg.rf.68ffed8bb31db22a54c9d28831eafa1f.jpg;car;240;253;250;280
1478897992106735618_jpg.rf.68ffed8bb31db22a54c9d28831eafa1f.jpg;car;249;255;265;279
1478896619299788031_jpg.rf.698ead953c3c66ecd8c7d697ec0e84b9.jpg;car;0;261;36;316
1478896619299788031_jpg.rf.698ead953c3c66ecd8c7d697ec0e84b9.jpg;car;213;253;238;286
1478896619299788031_jpg.rf.698ead953c3c66ecd8c7d697ec0e84b9.jpg;pedestrian;267;244;281;282
1478732929418915847_jpg.rf.696495f8f48782ac85a1f9a21be7f69b.jpg;car;214;248;262;290
1478732929418915847_jpg.rf.696495f8f48782ac85a1f9a21be7f69b.jpg;pedestrian;216;243;229;273
1478732929418915847_jpg.rf.696495f8f48782ac85a1f9a21be7f69b.jpg;car;255;246;286;283
1478732929418915847_jpg.rf.696495f8f48782ac85a1f9a21be7f69b.jpg;car;256;249;285;283
1478732929418915847_jpg.rf.696495f8f48782ac85a1f9a21be7f69b.jpg;car;278;241;302;278
1478732929418915847_jpg.rf.696495f8f48782ac85a1f9a21be7f69b.jpg;car;295;250;311;281
1478732929418915847_jpg.rf.696495f8f48782ac85a1f9a21be7f69b.jpg;car;307;248;330;279
1478732929418915847_jpg.rf.696495f8f48782ac85a1f9a21be7f69b.jpg;car;324;242;340;273
1478732929418915847_jpg.rf.696495f8f48782ac85a1f9a21be7f69b.jpg;car;336;246;350;271
1478732929418915847_jpg.rf.696495f8f48782ac85a1f9a21be7f69b.jpg;car;442;248;472;281
1478732929418915847_jpg.rf.696495f8f48782ac85a1f9a21be7f69b.jpg;car;473;247;511;291
1478897130030291246_jpg.rf.697ba104c4717eaf2df004b69c3a27fe.jpg;pedestrian;20;266;38;306
1478897130030291246_jpg.rf.697ba104c4717eaf2df004b69c3a27fe.jpg;pedestrian;23;262;38;303
1478897130030291246_jpg.rf.697ba104c4717eaf2df004b69c3a27fe.jpg;car;53;256;89;294
1478897130030291246_jpg.rf.697ba104c4717eaf2df004b69c3a27fe.jpg;car;89;265;120;296
1478897130030291246_jpg.rf.697ba104c4717eaf2df004b69c3a27fe.jpg;car;93;259;118;280
1478897130030291246_jpg.rf.697ba104c4717eaf2df004b69c3a27fe.jpg;car;138;265;172;307
1478897130030291246_jpg.rf.697ba104c4717eaf2df004b69c3a27fe.jpg;car;196;262;209;284
1478897130030291246_jpg.rf.697ba104c4717eaf2df004b69c3a27fe.jpg;car;246;263;278;302
1478897130030291246_jpg.rf.697ba104c4717eaf2df004b69c3a27fe.jpg;car;249;266;278;299
1478897087183348620_jpg.rf.69a3f23815f1d34e5430f61ab46d141e.jpg;pedestrian;224;261;230;281
1478897087183348620_jpg.rf.69a3f23815f1d34e5430f61ab46d141e.jpg;car;0;256;56;299
1478897087183348620_jpg.rf.69a3f23815f1d34e5430f61ab46d141e.jpg;car;260;256;302;303
1478897087183348620_jpg.rf.69a3f23815f1d34e5430f61ab46d141e.jpg;car;261;252;296;310
1478897087183348620_jpg.rf.69a3f23815f1d34e5430f61ab46d141e.jpg;car;291;251;372;323
1478901495826953237_jpg.rf.69d6ee6df0d5b336132d392f9de589fe.jpg;car;229;234;254;262
1478901495826953237_jpg.rf.69d6ee6df0d5b336132d392f9de589fe.jpg;car;250;239;264;264
1478901495826953237_jpg.rf.69d6ee6df0d5b336132d392f9de589fe.jpg;pedestrian;302;237;309;259
1478897957829946287_jpg.rf.69a5ca47c620cc4e3ce3dea324cec43a.jpg;pedestrian;162;270;168;294
1478897957829946287_jpg.rf.69a5ca47c620cc4e3ce3dea324cec43a.jpg;pedestrian;169;268;176;294
1478897957829946287_jpg.rf.69a5ca47c620cc4e3ce3dea324cec43a.jpg;pedestrian;180;266;186;295
1478897957829946287_jpg.rf.69a5ca47c620cc4e3ce3dea324cec43a.jpg;car;102;269;129;297
1478897957829946287_jpg.rf.69a5ca47c620cc4e3ce3dea324cec43a.jpg;pedestrian;107;268;129;296
1478897957829946287_jpg.rf.69a5ca47c620cc4e3ce3dea324cec43a.jpg;pedestrian;195;257;205;293
1478897957829946287_jpg.rf.69a5ca47c620cc4e3ce3dea324cec43a.jpg;pedestrian;204;257;211;293
1478897957829946287_jpg.rf.69a5ca47c620cc4e3ce3dea324cec43a.jpg;pedestrian;211;255;219;290
1478897266568630611_jpg.rf.69c722f11080508a5a42229462b5357b.jpg;pedestrian;28;250;39;293
1478897266568630611_jpg.rf.69c722f11080508a5a42229462b5357b.jpg;pedestrian;51;251;61;288
1478897266568630611_jpg.rf.69c722f11080508a5a42229462b5357b.jpg;car;147;237;256;378
1478897266568630611_jpg.rf.69c722f11080508a5a42229462b5357b.jpg;car;242;253;260;276
